City,Country,Host_IOC
Paris,France,FRA
Antwerpen,Belgium,BEL
London,United Kingdom,GBR
Helsinki,Finland,FIN
Beijing,China,CHN
Seoul,South Korea,KOR
Atlanta,United States,USA
Stockholm,Sweden,SWE
Melbourne,Australia,AUS
Rio de Janeiro,Brazil,BRA
Sydney,Australia,AUS
Athina,Greece,GRE
Moskva,Russia,RUS
Los Angeles,United States,USA
Barcelona,Spain,ESP
Berlin,Germany,GER
Roma,Italy,ITA
Tokyo,Japan,JPN
Munich,Germany,GER
St. Louis,United States,USA
Montreal,Canada,CAN
Amsterdam,Netherlands,NED
Mexico City,Mexico,MEX
