"Team","Medal","Count"
"ABW","Bronze",0
"AFG","Bronze",2
"AGO","Bronze",0
"ALB","Bronze",0
"AND","Bronze",0
"ARE","Bronze",1
"ARG","Bronze",91
"ARM","Bronze",9
"ASM","Bronze",0
"ATG","Bronze",0
"AUS","Bronze",510
"AUT","Bronze",53
"AZE","Bronze",25
"BDI","Bronze",0
"BEL","Bronze",166
"BEN","Bronze",0
"BFA","Bronze",0
"BGD","Bronze",0
"BGR","Bronze",141
"BHR","Bronze",1
"BHS","Bronze",15
"BIH","Bronze",0
"BLR","Bronze",66
"BLZ","Bronze",0
"BMU","Bronze",1
"BOL","Bronze",0
"BRA","Bronze",191
"BRB","Bronze",1
"BRN","Bronze",0
"BTN","Bronze",0
"BWA","Bronze",0
"CAF","Bronze",0
"CAN","Bronze",344
"CHE","Bronze",139
"CHL","Bronze",20
"CHN","Bronze",258
"CIV","Bronze",1
"CMR","Bronze",1
"COD","Bronze",0
"COG","Bronze",0
"COK","Bronze",0
"COL","Bronze",14
"COM","Bronze",0
"CPV","Bronze",0
"CRI","Bronze",2
"CUB","Bronze",116
"CYM","Bronze",0
"CYP","Bronze",0
"CZE","Bronze",32
"DEU","Bronze",649
"DJI","Bronze",1
"DMA","Bronze",0
"DNK","Bronze",177
"DOM","Bronze",2
"DZA","Bronze",8
"ECU","Bronze",0
"EGY","Bronze",12
"ERI","Bronze",1
"ESP","Bronze",135
"EST","Bronze",24
"ETH","Bronze",22
"FIN","Bronze",217
"FJI","Bronze",0
"FRA","Bronze",587
"FSM","Bronze",0
"GAB","Bronze",0
"GBR","Bronze",620
"GEO","Bronze",18
"GHA","Bronze",22
"GIN","Bronze",0
"GMB","Bronze",0
"GNB","Bronze",0
"GNQ","Bronze",0
"GRC","Bronze",84
"GRD","Bronze",0
"GTM","Bronze",0
"GUM","Bronze",0
"GUY","Bronze",1
"HKG","Bronze",1
"HND","Bronze",0
"HRV","Bronze",36
"HTI","Bronze",5
"HUN","Bronze",363
"IDN","Bronze",13
"IND","Bronze",40
"IRL","Bronze",13
"IRN","Bronze",29
"IRQ","Bronze",1
"ISL","Bronze",2
"ISR","Bronze",7
"ITA","Bronze",454
"JAM","Bronze",44
"JOR","Bronze",0
"JPN","Bronze",333
"KAZ","Bronze",29
"KEN","Bronze",31
"KGZ","Bronze",2
"KHM","Bronze",0
"KIR","Bronze",0
"KNA","Bronze",0
"KOR","Bronze",175
"KOS","Bronze",0
"KWT","Bronze",2
"LAO","Bronze",0
"LBR","Bronze",0
"LBY","Bronze",0
"LCA","Bronze",0
"LIE","Bronze",0
"LKA","Bronze",0
"LSO","Bronze",0
"LTU","Bronze",48
"LUX","Bronze",0
"LVA","Bronze",6
"MAR","Bronze",12
"MCO","Bronze",1
"MDA","Bronze",5
"MDG","Bronze",0
"MDV","Bronze",0
"MEX","Bronze",54
"MHL","Bronze",0
"MKD","Bronze",1
"MLI","Bronze",0
"MLT","Bronze",0
"MMR","Bronze",0
"MNE","Bronze",0
"MNG","Bronze",14
"MOZ","Bronze",1
"MRT","Bronze",0
"MUS","Bronze",1
"MWI","Bronze",0
"MYS","Bronze",5
"NAM","Bronze",0
"NER","Bronze",1
"NGA","Bronze",46
"NIC","Bronze",0
"NLD","Bronze",371
"NOR","Bronze",167
"NPL","Bronze",0
"NRU","Bronze",0
"NZL","Bronze",82
"OMN","Bronze",0
"PAK","Bronze",34
"PAN","Bronze",2
"PER","Bronze",0
"PHL","Bronze",7
"PLW","Bronze",0
"PNG","Bronze",0
"POL","Bronze",242
"PRI","Bronze",6
"PRK","Bronze",34
"PRT","Bronze",26
"PRY","Bronze",0
"PSE","Bronze",0
"QAT","Bronze",4
"ROU","Bronze",290
"RUS","Bronze",331
"RWA","Bronze",0
"SAU","Bronze",5
"SDN","Bronze",0
"SEN","Bronze",0
"SGP","Bronze",4
"SLB","Bronze",0
"SLE","Bronze",0
"SLV","Bronze",0
"SMR","Bronze",0
"SOM","Bronze",0
"SRB","Bronze",41
"SSD","Bronze",0
"STP","Bronze",0
"SUR","Bronze",1
"SVK","Bronze",12
"SVN","Bronze",15
"SWE","Bronze",358
"SWZ","Bronze",0
"SYC","Bronze",0
"SYR","Bronze",1
"TCD","Bronze",0
"TGO","Bronze",1
"THA","Bronze",13
"TJK","Bronze",2
"TKM","Bronze",0
"TLS","Bronze",0
"TON","Bronze",0
"TTO","Bronze",17
"TUN","Bronze",7
"TUR","Bronze",28
"TUV","Bronze",0
"TWN","Bronze",18
"TZA","Bronze",0
"UGA","Bronze",2
"UKR","Bronze",95
"URY","Bronze",30
"USA","Bronze",1197
"UZB","Bronze",17
"VCT","Bronze",0
"VEN","Bronze",10
"VGB","Bronze",0
"VIR","Bronze",0
"VNM","Bronze",0
"VUT","Bronze",0
"WSM","Bronze",0
"YEM","Bronze",0
"ZAF","Bronze",52
"ZMB","Bronze",1
"ZWE","Bronze",1
"ABW","Gold",0
"AFG","Gold",0
"AGO","Gold",0
"ALB","Gold",0
"AND","Gold",0
"ARE","Gold",1
"ARG","Gold",91
"ARM","Gold",2
"ASM","Gold",0
"ATG","Gold",0
"AUS","Gold",342
